Source: GIS_&_Timeseries_Tool weather year 2015; usable coordinates,,,,,,,,,
HOUR,California,ERCOT,MISO,NewEngland,NewYork,PJM,SERC,WECC,Canada
1,0.3475097222222222,0.9021666666666666,0.5645049180327869,0.2882873134328358,0.4762105263157895,0.3017614035087719,0.3740180887372014,0.3698673076923077,0.8144434476693052
2,0.3388736111111111,0.9218333333333334,0.5892786885245901,0.2776462686567164,0.5576736842105263,0.2806438596491228,0.3662624573378839,0.3639461538461538,0.7986864555848725
3,0.3105180555555555,0.9323911111111112,0.6159147540983606,0.2722671641791045,0.7222157894736841,0.2769631578947368,0.3460849829351536,0.3443596153846154,0.7780784520668426
4,0.2779458333333333,0.9391911111111112,0.6383311475409836,0.3229813432835821,0.9216,0.2770228070175438,0.3247129692832765,0.3316365384615384,0.7567416886543535
5,0.2516,0.94482,0.6667032786885246,0.416110447761194,0.9895263157894736,0.2842245614035087,0.3234976109215017,0.3523365384615384,0.7363424802110818
6,0.2385236111111111,0.9315288888888889,0.6702475409836066,0.4795634328358208,1.0,0.3074719298245614,0.3106058020477815,0.3590865384615384,0.7073364116094987
7,0.2435,0.9020266666666666,0.6721475409836065,0.5784253731343284,1.0,0.3979929824561403,0.3011559726962457,0.349,0.6719643799472296
8,0.2431416666666666,0.8714044444444444,0.6806016393442623,0.6789813432835822,1.0,0.4875526315789474,0.3033023890784982,0.3204711538461539,0.6398370272647317
9,0.2296347222222222,0.8455666666666667,0.6878704918032786,0.783289552238806,1.0,0.515861403508772,0.3099228668941979,0.2779,0.6108696569920844
10,0.2024263888888889,0.7986733333333333,0.7120573770491803,0.8658074626865672,1.0,0.5180684210526316,0.3228518771331058,0.2585384615384615,0.5783251539138082
11,0.1385083333333333,0.6859244444444444,0.4916409836065573,0.9271619402985074,1.0,0.4942614035087719,0.2738703071672355,0.2732365384615384,0.5471160949868075
12,0.1094305555555555,0.6367244444444444,0.5373754098360656,0.9518723880597016,1.0,0.4914929824561403,0.2730047781569966,0.2812846153846153,0.5415042216358839
13,0.0893444444444444,0.5057466666666667,0.5924688524590164,0.9782298507462686,1.0,0.4516385964912281,0.2731341296928328,0.2567884615384615,0.535948548812665
14,0.0773638888888888,0.4208822222222222,0.6426524590163935,0.9766044776119404,1.0,0.4054473684210526,0.2590273037542662,0.2403557692307692,0.5422919085312226
15,0.0686069444444444,0.3367466666666667,0.7101213114754098,0.9810388059701494,0.9988684210526316,0.3757245614035087,0.2460064846416382,0.2341403846153846,0.5599240105540897
16,0.0580930555555555,0.3575377777777777,0.7174327868852458,0.9695559701492538,0.9967263157894736,0.3505719298245614,0.2374436860068259,0.198275,0.5819270008795074
17,0.0491972222222222,0.4991022222222221,0.6676819672131148,0.9283940298507464,0.9997894736842105,0.3198017543859649,0.2107723549488054,0.1633346153846153,0.6008495162708882
18,0.0390875,0.6056866666666667,0.6214688524590164,0.9417865671641792,0.9944210526315788,0.3022438596491227,0.1908767918088737,0.144901923076923,0.594504837291117
19,0.0291013888888888,0.6192533333333333,0.5798409836065573,0.9746044776119404,0.9899631578947368,0.2872649122807017,0.1747290102389078,0.138,0.5772812664907652
20,0.0191513888888888,0.5615155555555555,0.5382377049180328,0.9853037313432836,0.9955894736842104,0.3136508771929824,0.1770242320819112,0.1362865384615384,0.5839649956024626
21,0.0134805555555555,0.5095,0.515444262295082,0.977734328358209,0.998242105263158,0.3756105263157895,0.1906430034129693,0.148101923076923,0.6100694810905892
22,0.0131291666666666,0.4547266666666667,0.5111196721311475,0.9603007462686566,0.9999315789473684,0.4327473684210526,0.2103590443686006,0.1704057692307692,0.6434278803869833
23,0.0149361111111111,0.5697733333333334,0.3703754098360656,0.9274462686567164,1.0,0.4882157894736842,0.2099122866894198,0.1522230769230769,0.6105134564643799
24,0.0144541666666666,0.5321022222222223,0.3652360655737705,0.9682253731343284,1.0,0.5271491228070175,0.2170170648464164,0.1445192307692308,0.6532708883025505
25,0.0100027777777777,0.4225911111111111,0.3606442622950819,0.988681343283582,1.0,0.5410859649122807,0.2218225255972696,0.1462730769230769,0.7040236587510994
26,0.007225,0.3224622222222222,0.377255737704918,0.9957014925373134,1.0,0.5677859649122806,0.2431146757679181,0.1499711538461538,0.7462196130167106
27,0.005375,0.2674777777777777,0.3881065573770492,0.9968477611940296,1.0,0.5797456140350876,0.2611948805460751,0.1401942307692307,0.7587536499560247
28,0.0049749999999999,0.2204733333333333,0.424039344262295,0.9968388059701492,1.0,0.5881438596491229,0.2644232081911263,0.1281173076923077,0.7631195250659631
29,0.0049194444444444,0.1816955555555555,0.4526819672131147,0.9968432835820896,1.0,0.5885035087719298,0.2578303754266212,0.1108192307692307,0.7672357959542656
30,0.0045625,0.1679266666666666,0.4628163934426229,0.9972731343283584,1.0,0.5623298245614035,0.2645279863481228,0.0836346153846153,0.7655943711521548
31,0.0045333333333333,0.1641866666666666,0.4625344262295082,0.9978216417910448,1.0,0.5548508771929824,0.2767887372013652,0.0690461538461538,0.751002110817942
32,0.0029833333333333,0.1563666666666666,0.4499426229508196,0.9974216417910448,1.0,0.5515087719298246,0.2892873720136519,0.0644038461538461,0.7232664028144239
33,0.0015722222222222,0.1388488888888888,0.4306081967213114,0.996737313432836,1.0,0.5401719298245614,0.2971972696245734,0.0643557692307692,0.6902767810026386
34,0.0013166666666666,0.1116644444444444,0.387044262295082,0.9964567164179106,1.0,0.5342280701754386,0.2938870307167235,0.056951923076923,0.6645197889182057
35,0.0046625,0.0890822222222222,0.2307131147540983,0.9924723880597016,1.0,0.6010122807017544,0.3093662116040955,0.0495096153846153,0.5832995602462621
36,0.0029791666666666,0.0603799999999999,0.1790131147540983,0.9919492537313432,1.0,0.5387315789473685,0.2992924914675768,0.0396384615384615,0.5958122251539137
37,0.0028138888888888,0.0491888888888888,0.1571180327868852,0.9929171641791046,1.0,0.4553929824561403,0.3014559726962457,0.0441211538461538,0.6127720316622691
38,0.0025694444444444,0.0489777777777777,0.1517819672131147,0.9954589552238806,1.0,0.3969473684210526,0.3174436860068259,0.0581153846153846,0.6319474934036939
39,0.0014972222222222,0.0516088888888888,0.1704311475409836,0.9979149253731344,0.9991,0.3171736842105263,0.3318279863481229,0.0742730769230769,0.6475974494283202
40,0.0025041666666666,0.0548355555555555,0.188927868852459,0.9990880597014926,0.9958947368421052,0.2719614035087719,0.3373426621160409,0.0919884615384615,0.6643551451187335
41,0.0027972222222222,0.0751377777777777,0.1936721311475409,0.9997470149253732,0.9923052631578948,0.2518701754385965,0.335577133105802,0.0950865384615384,0.668320580474934
42,0.0016875,0.1096911111111111,0.2109573770491803,0.9995641791044776,0.9921105263157896,0.2485771929824561,0.3310235494880546,0.0892192307692307,0.6670900615655233
43,0.0019569444444444,0.1588155555555555,0.2569196721311475,0.9998850746268656,0.993321052631579,0.2259122807017544,0.319976109215017,0.0908538461538461,0.6738204925241865
44,0.0042930555555555,0.2045822222222222,0.2932081967213115,0.9998276119402986,0.9940263157894738,0.2267578947368421,0.2991447098976109,0.1044980769230769,0.6908639401934916
45,0.0067472222222222,0.2504177777777778,0.3197262295081967,0.9994828358208956,0.9958894736842104,0.2385526315789473,0.2794030716723549,0.1266326923076923,0.7055417766051012
46,0.0071180555555555,0.3104666666666666,0.3508,0.998460447761194,0.9920368421052632,0.239678947368421,0.2737607508532423,0.1616442307692307,0.7189514511873352
47,0.0152152777777777,0.5115555555555555,0.3719655737704918,0.9893992537313432,0.8997999999999999,0.2787526315789473,0.2697846416382252,0.1975557692307692,0.7249191732629727
48,0.0206569444444444,0.5061911111111111,0.2983409836065573,0.9814985074626866,0.8632210526315789,0.3164017543859649,0.2790627986348122,0.2437826923076923,0.7486852242744063
49,0.0306361111111111,0.5004444444444445,0.2838147540983606,0.9799067164179104,0.7682315789473684,0.287819298245614,0.3151436860068259,0.2917192307692308,0.774934036939314
50,0.0487194444444444,0.4871844444444445,0.3411163934426229,0.9689246268656716,0.7559578947368422,0.2909736842105263,0.3502996587030716,0.3208807692307692,0.8014327176781003
51,0.0660958333333333,0.4704511111111111,0.4548360655737705,0.9554074626865672,0.7000842105263159,0.3106543859649123,0.3796235494880546,0.3316230769230769,0.8182667546174142
52,0.0887847222222222,0.4780488888888889,0.583611475409836,0.9448097014925372,0.7366368421052631,0.3528824561403508,0.4023621160409556,0.3459923076923077,0.8291806508355322
53,0.1187958333333333,0.5049244444444444,0.6625360655737705,0.9494470149253732,0.6756263157894736,0.3711105263157895,0.4190675767918089,0.3418038461538462,0.8368642040457344
54,0.1246861111111111,0.5641088888888889,0.7560704918032787,0.9090462686567164,0.4931052631578947,0.363019298245614,0.425436518771331,0.3243192307692307,0.8466791556728233
55,0.1163611111111111,0.6763422222222223,0.8138065573770492,0.8711873134328357,0.4463894736842105,0.3723263157894736,0.4505027303754266,0.2836788461538461,0.862058399296394
56,0.1047333333333333,0.7411866666666667,0.8461967213114755,0.835,0.3407684210526315,0.3555859649122806,0.4928075085324231,0.2215769230769231,0.8748515391380827
57,0.0915152777777777,0.6775111111111111,0.8462754098360655,0.8057291044776119,0.3043578947368421,0.3405035087719298,0.5282064846416382,0.1632903846153846,0.8827640281442393
58,0.0774513888888888,0.6014644444444445,0.8252540983606557,0.7539679104477612,0.2431736842105263,0.3495017543859649,0.5694651877133106,0.1184653846153846,0.8879781002638522
59,0.0395569444444444,0.4354444444444444,0.5404754098360656,0.5840850746268657,0.1352631578947368,0.3088999999999999,0.5311255972696246,0.0630384615384615,0.8868401934916447
60,0.0204888888888888,0.4328422222222222,0.7634721311475411,0.467784328358209,0.1930736842105263,0.3303508771929824,0.5747880546075086,0.0342365384615384,0.8874454705364996
61,0.0189263888888888,0.47204,0.9691524590163934,0.3491686567164179,0.2162157894736842,0.3436017543859649,0.6338481228668942,0.0207365384615384,0.8821623570800352
62,0.0164569444444444,0.4590866666666666,0.996711475409836,0.2546298507462686,0.2608263157894737,0.4065298245614035,0.6832447098976109,0.0161115384615384,0.8653927880386983
63,0.0106652777777777,0.41178,0.9992754098360656,0.182181343283582,0.3824894736842105,0.5177,0.7257976109215017,0.0106826923076923,0.8454310466138962
64,0.0066583333333333,0.37008,0.9995180327868852,0.1136791044776119,0.4116315789473684,0.6441280701754386,0.7428341296928327,0.00615,0.8308486367634125
65,0.0068416666666666,0.3416288888888888,0.9990393442622952,0.0916694029850746,0.4649894736842105,0.6767754385964913,0.7355402730375427,0.0067576923076923,0.8187743183817063
66,0.0070263888888888,0.30838,0.998472131147541,0.0675425373134328,0.4785368421052631,0.7179526315789473,0.7106047781569966,0.0067903846153846,0.8179790677220756
67,0.0051708333333333,0.3062088888888889,0.9923622950819672,0.052365671641791,0.4872421052631579,0.7388070175438597,0.6808126279863481,0.005151923076923,0.8105410729991205
68,0.0022583333333333,0.3932111111111111,0.942855737704918,0.0647813432835821,0.5563315789473684,0.6974,0.669455290102389,0.0057711538461538,0.8173336851363237
69,0.0017263888888888,0.4201466666666666,0.8774262295081968,0.0945097014925373,0.6539105263157895,0.7173438596491228,0.6777576791808874,0.0105788461538461,0.819930870712401
70,0.0010055555555555,0.33956,0.825639344262295,0.1615805970149254,0.9454105263157896,0.7883614035087719,0.7010252559726962,0.0068326923076923,0.8100807387862796
71,0.0001125,0.3005555555555556,0.7606131147540983,0.2520544776119403,0.9968052631578947,0.9087947368421052,0.6227525597269624,0.0115211538461538,0.7976042216358838
72,5.972222222222222e-05,0.2165977777777777,0.7357688524590165,0.4662626865671642,1.0,0.9197508771929824,0.6867494880546076,0.0094192307692307,0.7850216358839051
73,0.0063930555555555,0.1567288888888889,0.6998573770491803,0.6659880597014926,1.0,0.9437385964912282,0.7462610921501707,0.0044096153846153,0.770195778364116
74,0.0141486111111111,0.1218688888888888,0.6740836065573771,0.8240947761194031,0.9982526315789472,0.9780456140350878,0.8009491467576791,0.002776923076923,0.7613823218997361
75,0.0183875,0.0929244444444444,0.6531,0.922210447761194,0.9932368421052632,0.9869947368421051,0.8488003412969283,0.0107307692307692,0.7492018469656991
76,0.0185180555555555,0.0616822222222222,0.622088524590164,0.9821544776119404,0.9950526315789472,0.9916859649122808,0.8833627986348124,0.0310923076923076,0.7445896218117853
77,0.0138902777777777,0.0345155555555555,0.591083606557377,0.9961470149253732,0.994457894736842,0.9962438596491228,0.9064808873720136,0.096026923076923,0.7559298153034301
78,0.0077652777777777,0.0254777777777777,0.5605393442622951,0.9977373134328358,0.9947052631578948,0.9998912280701756,0.9032982935153584,0.1551634615384615,0.7538766051011433
79,0.0080472222222222,0.0446844444444444,0.5481655737704918,0.9979455223880598,1.0,0.9998964912280702,0.8938549488054607,0.2328807692307692,0.740092436235708
80,0.0122194444444444,0.1047177777777777,0.5210229508196721,0.9989380597014924,1.0,1.0,0.8879815699658704,0.3362692307692307,0.7247301671064204
81,0.010775,0.22988,0.5114786885245901,0.9996126865671644,1.0,1.0,0.8800273037542663,0.3817326923076923,0.7082992963940193
82,0.0091361111111111,0.4533777777777778,0.5618819672131148,0.9971156716417908,1.0,1.0,0.8768450511945391,0.4469461538461538,0.693396657871592
83,0.0063736111111111,0.7639422222222223,0.9043262295081969,0.9129940298507464,1.0,1.0,0.762035494880546,0.453523076923077,0.6891446789797714
84,0.0091861111111111,0.844571111111111,0.958388524590164,0.8851305970149254,1.0,1.0,0.7467153583617747,0.4779019230769231,0.6937686015831134
85,0.0178791666666666,0.8776511111111112,0.9703360655737704,0.8386201492537314,0.9999684210526316,1.0,0.7428064846416382,0.6120057692307692,0.6952763412489006
86,0.0238638888888888,0.9249044444444444,0.9441426229508196,0.7835164179104478,0.9996052631578948,0.9998245614035088,0.7739890784982935,0.7949961538461537,0.6999976253298152
87,0.0454166666666666,0.9833577777777778,0.9276049180327868,0.7689910447761193,0.9954684210526316,0.999722807017544,0.7705187713310581,0.9002826923076923,0.7186865435356201
88,0.0640972222222222,0.996631111111111,0.9277934426229508,0.7741492537313434,0.9962,0.9999894736842104,0.7396156996587031,0.9279615384615384,0.7308411609498681
