Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,California,WECC,SPP,MISO,ERCOT,SERC,PJM,NewYork,NewEngland,Canada
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6921446666666667,0.6977474358974359,0.6882541262135923,0.6371431693989071,0.6730617760617761,0.208966028708134,0.44339173228346457,0.2697391304347826,0.21945254237288134,0.5175454702827467
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6138066666666666,0.5904739926739927,0.5330473300970874,0.4224333333333333,0.5479841698841699,0.11757511961722487,0.22350393700787402,0.006423913043478261,0.0,0.39366999422965954
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4833006666666666,0.42455750915750917,0.28755752427184467,0.16426429872495446,0.3456810810810811,0.023292822966507178,0.018511417322834647,0.0,0.0,0.2173264858626659
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29274266666666665,0.21100036630036628,0.001950970873786408,0.0,0.1115119691119691,0.0,0.0,0.0,0.0,0.04131009809578765
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09141533333333332,0.005973992673992674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,0,0.046214,0,0,0,0,0,0,0,0.054722,0.012617,0.000066,0,0.00464,0,0,0,0.000068,0,0.047277,0,0,0.000172,0,0,0,0,0.041990133,0.054722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.008202,0,0.142152,0.010247,0.015286,0.003018,0,0.001497,0,0.004272,0.170312,0.048181,0.027358,0,0.050992,0,0,0,0.009278,0,0.170779,0,0.012164,0.029043,0,0.000016,0.001188,0.00124,0.134672733,0.170312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.040774,0.004558,0.24896,0.094912,0.079622,0.039782,0.034595,0.069025,0.000813,0.043726,0.298319,0.101108375,0.079716,0,0.121177,0.008026,0.04395,0.000602,0.03339,0.034506,0.288588,0.002042,0.043598,0.078735,0.000279,0.008145,0.011233,0.016512,0.239526333,0.298319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.095144,0.026502,0.336855,0.201462,0.163637,0.09604,0.141353,0.220154,0.005951,0.117179,0.388241,0.14866525,0.136327,0.004084,0.185189,0.032742,0.119257,0.022484,0.060555,0.16103,0.368649,0.02159,0.077371,0.121662,0.005153,0.019835,0.025289,0.032915,0.320212067,0.388241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.169971,0.048579,0.389481,0.320081,0.248486,0.154602,0.22077,0.379573,0.008501,0.19733,0.428035,0.172409,0.1876,0.028824,0.22467,0.053255,0.189055,0.043946,0.083662,0.368241,0.422472,0.043178,0.093626,0.139737,0.017614,0.025424,0.041299,0.039715,0.364057767,0.428035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.230208,0.070432,0.396733,0.404016,0.287343,0.182417,0.233612,0.456636,0.00523,0.252691,0.40941,0.172986875,0.204039,0.062883,0.2345,0.061136,0.237203,0.038449,0.086784,0.505624,0.40954,0.047675,0.096292,0.128797,0.03108,0.020598,0.041261,0.031177,0.359767233,0.40941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.221948,0.08142,0.33135,0.405205,0.24215,0.171839,0.142694,0.469831,0.000546,0.266084,0.325953,0.148443375,0.16857,0.092824,0.214125,0.067941,0.204646,0.018188,0.067189,0.535494,0.319686,0.030079,0.088374,0.094182,0.03817,0.007925,0.025198,0.014495,0.293264,0.325953,0.0,0.0,0.0,0.0,0.0,0.001430622009569378,0.022525590551181102,0.01496086956521739,0.1568186440677966,0.005203577611079054
39,0.14411,0.058949,0.198908,0.318956,0.139083,0.110788,0.043208,0.433409,0,0.223675,0.206954,0.09393275,0.094754,0.099628,0.155025,0.089954,0.102637,0.003401,0.029271,0.507837,0.174269,0.006962,0.0576,0.047904,0.032684,0,0.003334,0.000332,0.1794094,0.206954,0.0,0.0,0.0,0.00287304189435337,0.0,0.1028956937799043,0.28458700787401575,0.2700804347826087,0.36526101694915253,0.017621696480092326
40,0.044435,0.018341,0.040035,0.1512,0.034725,0.034857,0.002968,0.341766,0,0.138386,0.062239,0.02667275,0.017491,0.082682,0.071427,0.034471,0.030297,0,0.001608,0.428096,0.022369,0.000079,0.018518,0.006223,0.016256,0,0,0,0.044084233,0.062239,0.0,0.030891025641025638,0.11637378640776698,0.2396989071038251,0.1528976833976834,0.22794976076555024,0.5199181102362205,0.46179130434782606,0.5820949152542373,0.032979572994806694
41,0.000503,0.000224,0,0.016912,0,0.000322,0,0.193539,0,0.038741,0,0,0,0.03488,0.008206,0.000634,0.000018,0,0,0.292264,0,0,0,0,0.001422,0,0,0,0,0,0.059772,0.25367628205128206,0.36311067961165044,0.45759198542805096,0.3866027027027027,0.3691760765550239,0.6838488188976378,0.5740565217391305,0.7284169491525423,0.09692250432775534
42,0,0,0,0,0,0,0,0.038149,0,0.000089,0,0,0,0.00009,0,0,0,0,0,0.110313,0,0,0,0,0,0,0,0,0,0,0.195384,0.468614652014652,0.5711058252427185,0.6064105646630237,0.5659498069498069,0.48233923444976073,0.7744492125984253,0.6087456521739131,0.7780169491525424,0.2527377380265436
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3453273333333334,0.620356684981685,0.6945330097087379,0.686608014571949,0.6876054054054054,0.5750071770334928,0.7993318897637796,0.5542326086956522,0.7424559322033899,0.3811215233698788
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46198799999999995,0.7097108974358974,0.7029949029126213,0.6924637522768671,0.7390880308880309,0.4770961722488038,0.7624196850393701,0.47505217391304344,0.6179559322033898,0.4364334679746105
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5422333333333333,0.7309412087912088,0.6895626213592233,0.6309661202185792,0.7357235521235521,0.41988421052631575,0.6561842519685039,0.3443282608695652,0.4281322033898305,0.4463211771494518
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5427873333333333,0.6819558608058608,0.6341446601941748,0.49515100182149363,0.6805320463320463,0.32415645933014353,0.4796988188976378,0.20904130434782608,0.17566949152542372,0.39185072129255627
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4727766666666667,0.5738104395604395,0.49528907766990293,0.29665938069216763,0.5550945945945945,0.18310191387559807,0.24265590551181102,0.007345652173913043,0.0,0.30278188113098675
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3264886666666667,0.3926174908424908,0.2735131067961165,0.10051894353369763,0.3556173745173745,0.05445885167464115,0.01869488188976378,0.0,0.0,0.1574069821119446
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18069733333333335,0.16750485347985347,0.005527669902912621,0.0,0.12837297297297298,0.0,0.0,0.0,0.0,0.014982919792267744
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04504866666666667,0.00235485347985348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0,0,0,0,0,0,0,0,0,0,0.000016,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000064,0.000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0,0,0.05238,0,0,0,0,0,0,0,0.039192,0.01146,0.0026,0,0.002713,0,0,0,0.000025,0,0.025147,0,0.000018,0.000827,0,0,0,0,0.0367344,0.039192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.089846,0,0.16283,0.048454,0.026451,0.001994,0,0.00588,0,0.008056,0.148538,0.08141225,0.076287,0,0.077942,0,0,0,0.012716,0,0.126488,0,0.056655,0.0592,0,0.000266,0.006447,0.003361,0.138303367,0.148538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.263486,0.013291,0.304644,0.203688,0.083245,0.013291,0.008622,0.148975,0.007247,0.067492,0.277603,0.213609125,0.177864,0,0.210355,0.002313,0.023982,0.00007,0.041511,0.106235,0.258157,0.000625,0.187771,0.160562,0.000696,0.018655,0.035507,0.02322,0.270589167,0.277603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.354454,0.054707,0.400899,0.308836,0.09982,0.026746,0.02344,0.338426,0.025809,0.138564,0.380541,0.360207,0.283837,0.008548,0.316868,0.011424,0.075775,0.01172,0.064725,0.286699,0.364812,0.006424,0.350036,0.237858,0.01145,0.034069,0.056732,0.042604,0.377459567,0.380541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.359132,0.098991,0.448754,0.361749,0.097012,0.037278,0.054409,0.470826,0.030787,0.191704,0.417789,0.445715125,0.319954,0.052543,0.382712,0.020877,0.126719,0.030288,0.061494,0.434401,0.406082,0.012043,0.449863,0.306172,0.031155,0.037928,0.050735,0.047672,0.425047433,0.417789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.303382,0.120853,0.423276,0.350527,0.071477,0.03687,0.070608,0.537428,0.017313,0.212097,0.380345,0.439373125,0.288587,0.127106,0.397236,0.028428,0.15518,0.038406,0.040159,0.522916,0.37685,0.01457,0.451894,0.30645,0.044788,0.027547,0.029329,0.036031,0.396891067,0.380345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.201468,0.111667,0.344451,0.27011,0.049531,0.029219,0.061872,0.545667,0.002114,0.199653,0.29588,0.366407125,0.248306,0.150507,0.365039,0.024954,0.121589,0.028756,0.01695,0.546709,0.282555,0.011747,0.381821,0.187092,0.04308,0.008976,0.00853,0.013769,0.318223533,0.29588,0.0,0.0,0.0,0.0,0.0,0.0046,0.007959842519685038,0.02125,0.11822203389830509,0.007047259088286208
63,0.10164,0.069672,0.214208,0.171304,0.022523,0.016389,0.038039,0.499952,0,0.160653,0.178048,0.2404785,0.163237,0.109614,0.286807,0.015625,0.057503,0.008441,0.003992,0.518522,0.138278,0.003624,0.255262,0.053939,0.031886,0,0.000137,0.000009,0.195389333,0.178048,0.0,0.0,0.0,0.0050404371584699455,0.0,0.056686124401913875,0.10341850393700787,0.27975652173913046,0.29170677966101694,0.02162925562608194
64,0.035199,0.020856,0.0515,0.078293,0.002054,0.003146,0.004641,0.400835,0,0.101727,0.047356,0.07237125,0.032203,0.074846,0.156783,0.005874,0.016456,0.00008,0.000002,0.438539,0.018158,0.000008,0.080019,0.004739,0.017034,0,0,0,0.049185033,0.047356,0.0,0.026561721611721614,0.12973470873786408,0.1751513661202186,0.16538764478764478,0.15462918660287084,0.24877992125984252,0.48130869565217393,0.5051542372881356,0.044781823427582225
65,0.000284,0.000298,0,0.006411,0,0,0,0.245941,0,0.033385,0,0.0002715,0,0.032895,0.021265,0,0.000074,0,0,0.304392,0,0,0.000362,0,0.00302,0,0,0,0.0000362,0,0.08490266666666667,0.2151680402930403,0.373025,0.4013825136612022,0.40876563706563707,0.2313377990430622,0.3727165354330709,0.6389239130434783,0.5754983050847458,0.12320848240046162
66,0,0,0,0,0,0,0,0.058473,0,0.000272,0,0,0,0.000029,0,0,0,0,0,0.120136,0,0,0,0,0,0,0,0,0,0,0.26979333333333333,0.4197673076923077,0.5519817961165049,0.5622621129326048,0.5906633204633205,0.30712775119617225,0.44751771653543304,0.6903239130434783,0.5970491525423729,0.2919210040392383
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47733200000000003,0.5795007326007325,0.6559456310679611,0.6576642987249545,0.7078250965250965,0.3649641148325359,0.4173043307086614,0.6547021739130434,0.5886389830508475,0.4450748990190421
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5170126666666667,0.6871389194139194,0.6445958737864078,0.6972568306010929,0.765388416988417,0.4460382775119617,0.341744094488189,0.5125413043478261,0.5269593220338983,0.49915856895556837
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5560206666666666,0.7077959706959707,0.5993347087378641,0.6689887067395265,0.7552003861003861,0.4821339712918661,0.24715118110236223,0.40399999999999997,0.3421254237288136,0.49314962492787073
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5260006666666667,0.6652080586080586,0.5303740291262137,0.545816393442623,0.6816764478764479,0.3908607655502392,0.16698228346456692,0.27732391304347825,0.1422949152542373,0.4276083092902481
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439062,0.565734706959707,0.40140461165048547,0.3604517304189435,0.5564057915057915,0.24361052631578947,0.0915996062992126,0.013171739130434783,0.0,0.325932256203116
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27280933333333335,0.3982465201465201,0.20939441747572815,0.14915883424408014,0.35292007722007723,0.08123588516746412,0.014546062992125984,0.0,0.0,0.17639705712637047
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12307199999999999,0.18373205128205128,0.006635679611650485,0.0,0.12810694980694978,0.0,0.0,0.0,0.0,0.036916676283900746
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011571333333333333,0.0031720695970695973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
