region,Area [km²],Suitable Area PV [km²],Suitable Area Wind [km²],Suitable Area Rooftops [km²],PV Capacity [GW],Rooftop Capacity [GW],Wind Capacity [GW],Offshore Wind shallow [GW],Offshore Wind transitional [GW],Offshore Wind deep [GW],Offshore Wind Total [GW],PV Capacity inf [GW],PV Capacity avg [GW],PV Capacity opt [GW],PV Capacity Total [GW],Wind Capacity inf [GW],Wind Capacity avg [GW],Wind Capacity opt [GW],Wind Capacity Total [GW]
California,413512.3764477376,3803.593329931194,2352.0876669957293,677.7696067694687,309.99285638939233,67.77696067694687,63.506367008884695,1.7995350848959064,1.8489481876386722,35.99759214908878,39.64607542162336,63.883430684390675,125.95270211942486,119.74683998775127,309.5829727915668,17.24740623189725,26.959305250093095,19.0914447279816,63.29815620997195
ERCOT,689966.5551867589,11043.987925429787,10974.010284344822,857.5159928541751,900.0850159225276,85.75159928541751,296.2982776773102,13.94205110025301,10.329057183896504,18.65184073835966,42.92294902250917,201.1948581650171,421.1645460070207,277.8599291251724,900.2193332972101,78.72880005245182,131.70591978517348,85.91577166981385,296.35049150743913
MISO,1465689.6314006345,5041.303677599402,4859.244804493007,2547.3901322241154,410.8662497243513,254.73901322241153,131.1996097213112,22.393046689842407,8.183516261048013,25.11841382265316,55.69497677354358,76.77497248444165,190.96861280875174,141.37641028249664,409.11999557569004,48.52394109411412,53.22932650458987,28.75357996240535,130.50684756110934
NewEngland,169543.01917590763,247.90943528949964,234.26892234771492,337.87464680956543,20.20461897609422,33.78746468095654,6.325260903388303,8.72012534431521,15.731295303103453,47.64206463810738,72.09348528552604,7.772575216443064,5.269919317942493,6.818869494429365,19.861364028814922,2.072692192781195,2.044900774274633,2.130201920819608,6.247794887875436
NewYork,120054.92127449728,511.84594633131616,494.8335003775978,309.47665061536827,41.71544462600227,30.947665061536828,13.36050451019514,1.7705623035407565,4.993858395117967,6.811607748492033,13.576028447150756,14.64949217843366,16.7253289325728,10.290230959281804,41.66505207028827,2.859863516709389,6.401058254806246,4.091425350937494,13.352347122453128
PJM,684546.202138965,2783.9455623795243,2727.3640800874496,1676.4298312853666,226.89156333393123,167.64298312853666,73.63883016236115,27.78179502543981,16.035448118117653,21.666055030386953,65.48329817394442,62.689693871033214,103.26544945448723,60.18094358346124,226.1360869089817,25.57016646936467,31.518518446487974,16.24666863111048,73.33535354696312
SERC,627369.0294559491,2103.766482749747,2090.7706981125157,1273.451890404672,171.45696834410438,127.34518904046719,56.45080884903793,60.817544009892735,40.557197096720934,121.23207369757453,222.60681480418822,75.7006029979139,48.380386766378564,46.45148306588612,170.5324728301786,18.671682135461275,22.04087310452151,15.459385567430544,56.17194080741333
SPP,969064.4822765855,11114.139428617062,10349.414360605017,633.9404452104175,905.8023634322906,63.39404452104175,279.43418773633545,,,,,200.16045437834876,353.9185854623246,351.82880903909967,905.9078488797729,85.52780313385485,96.70774259273585,97.19306668419517,279.4286124107859
WECC,2666227.112155225,41025.83927001488,23920.97122863518,1316.5819183015776,3343.6059005062125,131.65819183015776,645.8662231731498,2.56325200355451,3.5638534075749266,20.28523103008964,26.412336441219075,622.4800951253101,1496.1887741203611,1223.864083274725,3342.532952520396,118.15457707591122,248.71803412820347,278.0995905284431,644.9722017325578
